A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
1420	33245.6657197687	1420	1683.33333333333	1420	0.0506331666666667
1430	33315.0078843324	1430	1686.66666666667	1430	0.0506278333333333
1440	33598.055265507	1440	1700	1440	0.0505981666666667
1450	36699.3652625505	1450	1855	1450	0.0505458333333333
1460	33549.4311397926	1460	1700	1460	0.0506715
1470	33598.6086223253	1470	1700	1470	0.0505973333333333
1480	34862.6870580497	1480	1766.66666666667	1480	0.050675
1490	34185.4983599532	1490	1728.33333333333	1490	0.0505575
1500	35637.543477474	1500	1805	1500	0.0506488333333333
1510	34581.7521861079	1510	1746.66666666667	1510	0.0505083333333333
